"gs","gene"
"ABCDLBCL-1","ACP1"
"ABCDLBCL-1","BATF"
"ABCDLBCL-1","BCL2"
"ABCDLBCL-1","CCND2"
"ABCDLBCL-1","CSNK1E"
"ABCDLBCL-1","ENTPD1"
"ABCDLBCL-1","FUT8"
"ABCDLBCL-1","GOT2"
"ABCDLBCL-1","IGHG1"
"ABCDLBCL-1","IL16"
"ABCDLBCL-1","IRF4"
"ABCDLBCL-1","MARCKS"
"ABCDLBCL-1","PIM1"
"ABCDLBCL-1","PIM2"
"ABCDLBCL-1","PRKCB"
"ABCDLBCL-1","PTPN1"
"ABCDLBCL-1","SLA"
"ABCDLBCL-1","SP140"
"ABCDLBCL-1","SPIB"
"ABCDLBCL-1","TCF4"
"ABCDLBCL-2","BLNK"
"ABCDLBCL-2","BMF"
"ABCDLBCL-2","CCDC50"
"ABCDLBCL-2","CCND2"
"ABCDLBCL-2","ENTPD1"
"ABCDLBCL-2","ETV6"
"ABCDLBCL-2","FOXP1"
"ABCDLBCL-2","FUT8"
"ABCDLBCL-2","IGHM"
"ABCDLBCL-2","IL16"
"ABCDLBCL-2","IRF4"
"ABCDLBCL-2","PIM1"
"ABCDLBCL-2","PTPN1"
"ABCDLBCL-2","SH3BP5"
"ABCDLBCL-2","TBC1D27P"
"GCBDLBCL-1","BCL6"
"GCBDLBCL-1","CSTB"
"GCBDLBCL-1","FAM3C"
"GCBDLBCL-1","ITPKB"
"GCBDLBCL-1","LMO2"
"GCBDLBCL-1","IRAG2"
"GCBDLBCL-1","MME"
"GCBDLBCL-1","MYBL1"
"GCBDLBCL-1","SPINK2"
"GCBDLBCL-1","VCL"
"GCBDLBCL-2","BCL6"
"GCBDLBCL-2","DENND3"
"GCBDLBCL-2","ITPKB"
"GCBDLBCL-2","LMO2"
"GCBDLBCL-2","IRAG2"
"GCBDLBCL-2","MME"
"GCBDLBCL-2","MYBL1"
"GCBDLBCL-2","NEK6"
"GCBDLBCL-2","SAMD12"
"GCBDLBCL-2","SERPINA9"
"IRF4Up-7","ACP1"
"IRF4Up-7","ADAT3"
"IRF4Up-7","ADGRE5"
"IRF4Up-7","ADTRP"
"IRF4Up-7","AFF3"
"IRF4Up-7","AHCY"
"IRF4Up-7","ALAD"
"IRF4Up-7","ANKRD33B"
"IRF4Up-7","ARHGAP17"
"IRF4Up-7","ARHGAP24"
"IRF4Up-7","ARHGAP25"
"IRF4Up-7","ARHGAP31"
"IRF4Up-7","ARHGEF3"
"IRF4Up-7","ARID3A"
"IRF4Up-7","ASPHD2"
"IRF4Up-7","ATP1B1"
"IRF4Up-7","AURKA"
"IRF4Up-7","BATF"
"IRF4Up-7","BCL2"
"IRF4Up-7","BCL3"
"IRF4Up-7","BLNK"
"IRF4Up-7","BMF"
"IRF4Up-7","BSPRY"
"IRF4Up-7","RHEX"
"IRF4Up-7","CABLES1"
"IRF4Up-7","CARD11"
"IRF4Up-7","CCDC113"
"IRF4Up-7","CCDC88C"
"IRF4Up-7","CCL22"
"IRF4Up-7","CCND2"
"IRF4Up-7","CD47"
"IRF4Up-7","CDKL1"
"IRF4Up-7","CFLAR"
"IRF4Up-7","CLINT1"
"IRF4Up-7","COL9A2"
"IRF4Up-7","CORO1C"
"IRF4Up-7","CSNK1E"
"IRF4Up-7","CXXC5"
"IRF4Up-7","CYB5R2"
"IRF4Up-7","DCTD"
"IRF4Up-7","DGKG"
